time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.radiation_type,.field_of_view,.min_range,.max_range,.range
2021/01/19/15:46:24.465583,172,1611081984,428323060,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:24.764544,173,1611081984,728323060,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:25.063281,174,1611081985,28323060,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:25.362948,175,1611081985,328323060,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:25.665813,176,1611081985,628323060,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:25.964800,177,1611081985,928323060,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:26.263862,178,1611081986,229268079,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:26.562939,179,1611081986,529268079,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:26.866014,180,1611081986,829268079,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:27.165088,181,1611081987,129268079,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:27.463530,182,1611081987,429268079,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:27.762619,183,1611081987,729268079,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:28.066125,184,1611081988,30268079,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:28.365333,185,1611081988,329268079,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:28.664046,186,1611081988,627790050,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:28.963360,187,1611081988,927790050,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:29.262452,188,1611081989,227790050,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
